! ConsToPrim(): p(E) < 0 (-1.17e+05),   @step = 37475 (stage = 1); [i = 5], [x1 = 1.996250]
! ConsToPrim(): p(E) < 0 (-6.49e+04),   @step = 37475 (stage = 3); [i = 5], [x1 = 1.996250]
! ConsToPrim(): p(E) < 0 (-1.87e+05),   @step = 37476 (stage = 1); [i = 5], [x1 = 1.996250]
! ConsToPrim(): p(E) < 0 (-4.28e+03),   @step = 37476 (stage = 2); [i = 5], [x1 = 1.996250]
! ConsToPrim(): p(E) < 0 (-1.08e+05),   @step = 37476 (stage = 3); [i = 5], [x1 = 1.996250]
! ConsToPrim(): p(E) < 0 (-2.43e+05),   @step = 37477 (stage = 1); [i = 5], [x1 = 1.996250]
! ConsToPrim(): p(E) < 0 (-1.35e+04),   @step = 37477 (stage = 2); [i = 5], [x1 = 1.996250]
! ConsToPrim(): p(E) < 0 (-1.40e+05),   @step = 37477 (stage = 3); [i = 5], [x1 = 1.996250]
! ConsToPrim(): p(E) < 0 (-3.39e+05),   @step = 37478 (stage = 1); [i = 5], [x1 = 1.996250]
! ConsToPrim(): p(E) < 0 (-2.14e+04),   @step = 37478 (stage = 2); [i = 5], [x1 = 1.996250]
! ConsToPrim(): p(E) < 0 (-1.96e+05),   @step = 37478 (stage = 3); [i = 5], [x1 = 1.996250]
! ConsToPrim(): p(E) < 0 (-4.05e+05),   @step = 37479 (stage = 1); [i = 5], [x1 = 1.996250]
! ConsToPrim(): p(E) < 0 (-2.35e+04),   @step = 37479 (stage = 2); [i = 5], [x1 = 1.996250]
! ConsToPrim(): p(E) < 0 (-2.16e+05),   @step = 37479 (stage = 3); [i = 5], [x1 = 1.996250]
! ConsToPrim(): p(E) < 0 (-2.30e+05),   @step = 37480 (stage = 1); [i = 5], [x1 = 1.996250]
! ConsToPrim(): p(E) < 0 (-1.66e+04),   @step = 37480 (stage = 2); [i = 5], [x1 = 1.996250]
! ConsToPrim(): p(E) < 0 (-1.27e+05),   @step = 37480 (stage = 3); [i = 5], [x1 = 1.996250]
! ConsToPrim(): p(E) < 0 (-5.36e+05),   @step = 37481 (stage = 1); [i = 5], [x1 = 1.996250]
! ConsToPrim(): p(E) < 0 (-2.79e+05),   @step = 37481 (stage = 3); [i = 5], [x1 = 1.996250]
! ConsToPrim(): p(E) < 0 (-2.63e+05),   @step = 37482 (stage = 1); [i = 5], [x1 = 1.996250]
! ConsToPrim(): p(E) < 0 (-1.90e+04),   @step = 37482 (stage = 2); [i = 5], [x1 = 1.996250]
! ConsToPrim(): p(E) < 0 (-1.43e+05),   @step = 37482 (stage = 3); [i = 5], [x1 = 1.996250]
! ConsToPrim(): p(E) < 0 (-2.59e+05),   @step = 37483 (stage = 1); [i = 5], [x1 = 1.996250]
! ConsToPrim(): p(E) < 0 (-1.80e+04),   @step = 37483 (stage = 2); [i = 5], [x1 = 1.996250]
! ConsToPrim(): p(E) < 0 (-1.40e+05),   @step = 37483 (stage = 3); [i = 5], [x1 = 1.996250]
! ConsToPrim(): p(E) < 0 (-2.86e+05),   @step = 37484 (stage = 1); [i = 5], [x1 = 1.996250]
! ConsToPrim(): p(E) < 0 (-2.48e+05),   @step = 37484 (stage = 3); [i = 5], [x1 = 1.996250]
! ConsToPrim(): p(E) < 0 (-1.01e+05),   @step = 37485 (stage = 1); [i = 5], [x1 = 1.996250]
! ConsToPrim(): p(E) < 0 (-2.79e+03),   @step = 37485 (stage = 3); [i = 5], [x1 = 1.996250]
! ConsToPrim(): p(E) < 0 (-3.15e+02),   @step = 37486 (stage = 1); [i = 5], [x1 = 1.996250]
! ConsToPrim(): p(E) < 0 (-1.83e+05),   @step = 37488 (stage = 1); [i = 4], [x1 = 1.948750]
! ConsToPrim(): p(E) < 0 (-1.04e+05),   @step = 37488 (stage = 3); [i = 4], [x1 = 1.948750]
! ConsToPrim(): p(E) < 0 (-4.15e+05),   @step = 37489 (stage = 1); [i = 4], [x1 = 1.948750]
! ConsToPrim(): p(E) < 0 (-8.43e+02),   @step = 37489 (stage = 2); [i = 4], [x1 = 1.948750]
! ConsToPrim(): p(E) < 0 (-2.32e+05),   @step = 37489 (stage = 3); [i = 4], [x1 = 1.948750]
! ConsToPrim(): p(E) < 0 (-7.38e+05),   @step = 37490 (stage = 1); [i = 4], [x1 = 1.948750]
! ConsToPrim(): p(E) < 0 (-3.82e+05),   @step = 37490 (stage = 3); [i = 4], [x1 = 1.948750]
! ConsToPrim(): p(E) < 0 (-1.05e+06),   @step = 37491 (stage = 1); [i = 4], [x1 = 1.948750]
! ConsToPrim(): p(E) < 0 (-3.12e+02),   @step = 37491 (stage = 1); [i = 5], [x1 = 1.996250]
! ConsToPrim(): p(E) < 0 (-4.38e+05),   @step = 37491 (stage = 3); [i = 4], [x1 = 1.948750]
! ConsToPrim(): p(E) < 0 (-5.01e+05),   @step = 37492 (stage = 1); [i = 4], [x1 = 1.948750]
! ConsToPrim(): p(E) < 0 (-7.99e+03),   @step = 37492 (stage = 2); [i = 4], [x1 = 1.948750]
! ConsToPrim(): p(E) < 0 (-2.49e+05),   @step = 37492 (stage = 3); [i = 4], [x1 = 1.948750]
! ConsToPrim(): p(E) < 0 (-1.80e+06),   @step = 37493 (stage = 1); [i = 4], [x1 = 1.948750]
