! ConsToPrim(): p(E) < 0 (-5.00e+04),   @step = 37405 (stage = 1); [i = 7], [x1 = 2.328750]
! ConsToPrim(): p(E) < 0 (-7.95e+03),   @step = 37405 (stage = 3); [i = 7], [x1 = 2.328750]
! ConsToPrim(): p(E) < 0 (-7.34e+02),   @step = 37406 (stage = 1); [i = 7], [x1 = 2.328750]
! ConsToPrim(): p(E) < 0 (-7.36e+03),   @step = 37407 (stage = 1); [i = 7], [x1 = 2.328750]
! ConsToPrim(): p(E) < 0 (-8.18e+03),   @step = 37410 (stage = 1); [i = 6], [x1 = 2.281250]
! ConsToPrim(): p(E) < 0 (-3.23e+04),   @step = 37410 (stage = 3); [i = 6], [x1 = 2.281250]
! ConsToPrim(): p(E) < 0 (-1.25e+05),   @step = 37411 (stage = 1); [i = 6], [x1 = 2.281250]
! ConsToPrim(): p(E) < 0 (-7.10e+04),   @step = 37411 (stage = 3); [i = 6], [x1 = 2.281250]
! ConsToPrim(): p(E) < 0 (-1.99e+05),   @step = 37412 (stage = 1); [i = 6], [x1 = 2.281250]
! ConsToPrim(): p(E) < 0 (-6.46e+03),   @step = 37412 (stage = 2); [i = 6], [x1 = 2.281250]
! ConsToPrim(): p(E) < 0 (-1.14e+05),   @step = 37412 (stage = 3); [i = 6], [x1 = 2.281250]
! ConsToPrim(): p(E) < 0 (-2.59e+05),   @step = 37413 (stage = 1); [i = 6], [x1 = 2.281250]
! ConsToPrim(): p(E) < 0 (-1.37e+04),   @step = 37413 (stage = 2); [i = 6], [x1 = 2.281250]
! ConsToPrim(): p(E) < 0 (-1.48e+05),   @step = 37413 (stage = 3); [i = 6], [x1 = 2.281250]
! ConsToPrim(): p(E) < 0 (-3.79e+05),   @step = 37414 (stage = 1); [i = 6], [x1 = 2.281250]
! ConsToPrim(): p(E) < 0 (-2.10e+05),   @step = 37414 (stage = 3); [i = 6], [x1 = 2.281250]
! ConsToPrim(): p(E) < 0 (-4.33e+05),   @step = 37415 (stage = 1); [i = 6], [x1 = 2.281250]
! ConsToPrim(): p(E) < 0 (-2.21e+05),   @step = 37415 (stage = 3); [i = 6], [x1 = 2.281250]
! ConsToPrim(): p(E) < 0 (-2.30e+05),   @step = 37416 (stage = 1); [i = 6], [x1 = 2.281250]
! ConsToPrim(): p(E) < 0 (-1.31e+04),   @step = 37416 (stage = 2); [i = 6], [x1 = 2.281250]
! ConsToPrim(): p(E) < 0 (-1.23e+05),   @step = 37416 (stage = 3); [i = 6], [x1 = 2.281250]
! ConsToPrim(): p(E) < 0 (-6.39e+05),   @step = 37417 (stage = 1); [i = 6], [x1 = 2.281250]
! ConsToPrim(): p(E) < 0 (-2.04e+05),   @step = 37417 (stage = 3); [i = 6], [x1 = 2.281250]
! ConsToPrim(): p(E) < 0 (-2.69e+05),   @step = 37418 (stage = 1); [i = 6], [x1 = 2.281250]
! ConsToPrim(): p(E) < 0 (-1.17e+05),   @step = 37418 (stage = 3); [i = 6], [x1 = 2.281250]
! ConsToPrim(): p(E) < 0 (-5.48e+05),   @step = 37419 (stage = 1); [i = 6], [x1 = 2.281250]
! ConsToPrim(): p(E) < 0 (-9.13e+04),   @step = 37419 (stage = 3); [i = 6], [x1 = 2.281250]
! ConsToPrim(): p(E) < 0 (-1.34e+05),   @step = 37422 (stage = 1); [i = 5], [x1 = 2.233750]
! ConsToPrim(): p(E) < 0 (-7.61e+04),   @step = 37422 (stage = 3); [i = 5], [x1 = 2.233750]
! ConsToPrim(): p(E) < 0 (-3.51e+05),   @step = 37423 (stage = 1); [i = 5], [x1 = 2.233750]
! ConsToPrim(): p(E) < 0 (-1.94e+05),   @step = 37423 (stage = 3); [i = 5], [x1 = 2.233750]
! ConsToPrim(): p(E) < 0 (-6.07e+05),   @step = 37424 (stage = 1); [i = 5], [x1 = 2.233750]
! ConsToPrim(): p(E) < 0 (-3.09e+05),   @step = 37424 (stage = 3); [i = 5], [x1 = 2.233750]
! ConsToPrim(): p(E) < 0 (-8.78e+05),   @step = 37425 (stage = 1); [i = 5], [x1 = 2.233750]
! ConsToPrim(): p(E) < 0 (-3.24e+05),   @step = 37425 (stage = 3); [i = 5], [x1 = 2.233750]
! ConsToPrim(): p(E) < 0 (-3.88e+05),   @step = 37426 (stage = 1); [i = 5], [x1 = 2.233750]
! ConsToPrim(): p(E) < 0 (-4.68e+03),   @step = 37426 (stage = 2); [i = 5], [x1 = 2.233750]
! ConsToPrim(): p(E) < 0 (-1.91e+05),   @step = 37426 (stage = 3); [i = 5], [x1 = 2.233750]
! ConsToPrim(): p(E) < 0 (-3.82e+05),   @step = 37427 (stage = 1); [i = 5], [x1 = 2.233750]
! ConsToPrim(): p(E) < 0 (-5.42e+03),   @step = 37427 (stage = 2); [i = 5], [x1 = 2.233750]
! ConsToPrim(): p(E) < 0 (-1.72e+05),   @step = 37427 (stage = 3); [i = 5], [x1 = 2.233750]
! ConsToPrim(): p(E) < 0 (-2.36e+05),   @step = 37428 (stage = 1); [i = 5], [x1 = 2.233750]
! ConsToPrim(): p(E) < 0 (-2.11e+05),   @step = 37428 (stage = 3); [i = 5], [x1 = 2.233750]
! ConsToPrim(): p(E) < 0 (-2.85e+04),   @step = 37429 (stage = 1); [i = 5], [x1 = 2.233750]
! ConsToPrim(): p(E) < 0 (-1.58e+05),   @step = 37433 (stage = 1); [i = 4], [x1 = 2.186250]
! ConsToPrim(): p(E) < 0 (-8.95e+04),   @step = 37433 (stage = 3); [i = 4], [x1 = 2.186250]
! ConsToPrim(): p(E) < 0 (-2.80e+05),   @step = 37434 (stage = 1); [i = 4], [x1 = 2.186250]
